Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,31.31,24.6,0.0,5.69,1.83,26.0,0.0,7.47,13.24,0.5
Feb,9.68,13.35,0.0,0.0,10.37,2.21,6.17,2.08,1.94,6.5
Mar,5.78,10.32,13.38,39.39,26.81,27.32,159.12,27.15,14.95,1.8
Apr,22.54,19.06,0.0,16.92,22.06,0.0,7.86,18.75,25.54,9.7
May,61.11,51.84,16.91,156.53,53.96,33.3,103.88,49.86,21.19,63.1
Jun,82.79,121.22,53.35,88.92,120.5,65.14,88.67,68.28,72.55,18.3
Jul,249.88,258.73,146.18,201.73,198.71,161.19,187.3,176.53,178.65,245.5
Aug,266.98,276.08,110.06,251.57,205.98,170.32,241.08,227.07,187.82,288.0
Sep,200.18,201.26,65.42,126.68,112.18,103.03,142.78,70.24,102.94,102.0
Oct,45.82,69.07,21.89,79.87,52.14,36.82,49.18,64.05,47.29,0.0
Nov,1.19,4.41,4.3,4.5,8.15,10.94,0.55,7.91,2.56,0.0
Dec,3.68,5.61,0.0,2.12,2.0,17.04,2.98,5.22,7.0,0.0
