Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.21,1.54,0.0,0.36,2.15,0.0,0.0,0.0,3.9,0.0,0.0,11.98,0.0
Feb,0.16,1.84,0.23,0.18,2.2,1.31,0.1,0.0,5.54,0.02,0.0,0.0,18.5
Mar,3.45,6.82,0.0,3.06,6.29,0.0,32.11,363.81,0.0,35.45,121.09,8.26,0.0
Apr,7.25,17.55,0.0,7.03,11.18,4.98,47.56,38.7,26.36,47.78,31.93,35.79,11.6
May,31.33,43.92,1.64,30.56,44.29,5.94,25.87,0.0,45.86,25.92,0.0,97.47,21.6
Jun,92.23,88.01,52.62,97.31,97.9,66.02,66.89,324.97,83.06,67.51,336.45,125.06,91.2
Jul,106.17,116.28,129.51,107.56,130.46,125.17,168.46,217.7,159.33,167.55,217.81,169.96,142.6
Aug,131.14,123.21,108.29,123.37,94.75,109.07,178.6,245.53,143.32,182.26,237.6,159.08,161.4
Sep,99.49,163.7,93.49,122.49,195.41,94.09,296.73,532.76,125.52,301.0,510.03,115.78,212.9
Oct,92.84,98.86,51.02,92.29,85.19,64.13,221.53,269.48,81.66,219.73,259.72,79.48,244.0
Nov,30.4,28.63,0.0,28.43,28.73,17.14,40.71,0.0,97.61,40.9,0.0,98.49,7.0
Dec,0.24,7.69,0.65,1.24,8.71,14.64,15.36,394.52,26.28,14.78,394.67,35.27,0.0
