Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.8,7.01,9.09,5.15,6.91,0.0,1.21,3.4,7.07,0.0,0.0,0.25,0.2
Feb,7.82,11.96,0.0,12.12,8.3,0.0,1.19,5.04,8.99,1.91,5.46,8.47,0.6
Mar,3.42,5.52,2.97,2.38,5.06,15.91,0.0,0.0,0.0,0.0,0.0,13.76,0.0
Apr,2.31,7.67,0.0,4.84,9.5,0.0,0.0,18.96,0.0,9.31,20.12,0.0,14.9
May,15.34,15.35,0.0,33.98,14.81,10.08,31.52,22.9,21.87,31.68,22.82,18.02,11.2
Jun,66.5,47.32,64.83,63.41,57.74,64.86,3.04,0.0,39.84,2.96,0.0,45.02,66.5
Jul,147.19,143.81,59.75,144.08,141.61,61.56,96.83,99.32,70.78,84.3,99.1,80.19,191.4
Aug,187.07,140.95,46.45,197.76,151.12,65.13,173.78,97.9,62.83,157.08,91.0,83.35,40.5
Sep,54.6,73.93,22.67,58.64,78.86,41.52,23.82,0.0,45.47,34.55,0.0,52.61,113.2
Oct,1.5,5.45,0.0,0.34,2.45,0.0,7.54,0.0,4.58,6.89,0.0,4.84,0.0
Nov,0.1,4.9,0.27,0.1,4.14,9.64,0.0,0.0,0.0,0.0,0.0,4.57,2.0
Dec,2.6,3.99,0.37,1.82,3.35,4.8,0.07,0.08,5.68,1.36,0.8,0.0,1.5
