Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,9.34,6.67,0.0,11.26,24.21,12.42,36.1,21.41,3.61,0.2
Feb,26.79,3.46,0.0,0.09,0.0,12.26,0.96,0.0,2.44,0.6
Mar,3.81,0.0,8.37,9.93,0.0,1.6,4.99,0.0,3.99,0.0
Apr,0.3,0.39,19.49,12.97,9.11,0.0,3.38,8.09,0.0,14.9
May,2.55,2.56,27.27,0.4,5.54,7.34,8.35,5.37,13.69,11.2
Jun,9.95,15.12,26.93,84.66,75.85,0.0,66.31,67.78,47.73,66.5
Jul,94.52,92.1,83.3,76.0,90.53,40.17,82.09,93.41,61.4,191.4
Aug,66.19,50.72,34.73,125.56,116.63,90.13,99.1,119.8,115.37,40.5
Sep,85.76,78.18,13.47,145.55,104.34,58.75,133.21,102.38,66.21,113.2
Oct,2.59,4.75,12.07,19.89,10.65,0.0,7.8,9.11,0.0,0.0
Nov,0.76,4.03,0.0,0.0,1.14,18.47,0.0,4.19,5.89,2.0
Dec,0.0,3.97,10.14,0.1,0.76,0.0,0.0,1.02,0.0,1.5
