Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.1,3.53,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0
Feb,2.55,4.26,4.34,0.0,0.0,0.0,0.0,0.15,1.22,0.0
Mar,2.85,0.75,14.52,0.0,0.0,0.0,0.0,0.85,2.65,0.1
Apr,20.26,38.74,16.33,28.2,56.99,17.24,140.74,82.4,20.68,46.6
May,40.11,48.52,21.65,80.54,54.34,25.25,69.92,54.17,30.52,60.0
Jun,184.25,250.97,37.95,272.57,281.25,219.36,247.7,281.14,221.12,200.1
Jul,441.67,446.4,87.57,598.65,450.12,402.27,490.71,411.38,408.79,661.0
Aug,336.65,567.28,53.85,730.33,445.76,429.65,376.86,532.67,436.23,519.8
Sep,44.37,366.91,72.66,240.07,288.43,290.41,337.86,331.02,294.36,464.0
Oct,19.31,137.34,26.23,188.78,139.58,123.33,114.43,153.79,125.13,51.0
Nov,24.48,55.75,28.3,30.54,55.04,37.96,25.82,51.05,38.89,0.0
Dec,0.0,3.63,13.34,20.55,19.02,0.0,21.89,19.1,0.0,11.0
