Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,28.35,30.87,11.88,11.5,0.0,32.15,6.89,19.16,29.75,11.5
Feb,20.43,30.94,0.0,42.9,47.37,24.76,43.36,42.38,41.26,44.5
Mar,13.58,21.87,8.14,44.88,32.49,8.57,40.62,39.62,32.66,39.3
Apr,18.32,21.99,0.0,27.22,59.49,11.55,26.14,58.69,33.87,80.1
May,26.02,29.72,1.19,35.25,53.04,0.0,39.48,48.48,39.51,30.5
Jun,173.3,139.45,34.72,166.33,178.04,79.06,172.75,185.94,90.37,190.4
Jul,16.28,336.52,67.12,314.5,315.17,283.34,370.78,325.22,313.98,414.9
Aug,306.37,356.2,78.67,482.99,340.07,344.61,372.29,325.87,349.4,434.0
Sep,197.23,268.85,26.28,163.81,163.71,141.49,220.97,184.03,136.64,311.3
Oct,60.21,30.18,21.15,24.19,17.2,5.49,18.74,32.93,8.11,8.7
Nov,16.8,14.63,0.0,13.05,9.83,7.56,19.96,14.2,2.69,36.8
Dec,22.08,22.65,17.69,51.9,34.82,24.86,31.16,71.77,31.18,4.5
