Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.14,2.77,2.13,3.39,2.9,0.0,1.1,0.99,0.0,2.39,1.01,0.0,0.0
Feb,0.17,3.2,0.0,0.01,2.66,0.0,1.23,7.71,0.0,0.82,7.7,0.0,2.8
Mar,11.05,15.12,0.68,5.21,12.42,0.0,14.32,7.42,3.11,13.45,0.0,9.81,27.0
Apr,40.59,58.69,41.48,35.82,58.9,47.92,58.32,59.75,53.58,46.44,63.2,55.43,48.3
May,151.08,155.69,201.86,136.62,121.49,200.8,48.06,24.77,186.95,11.47,0.0,168.76,241.8
Jun,24.85,233.59,19.04,68.67,172.46,39.98,85.01,52.92,37.54,97.97,54.24,59.27,71.6
Jul,54.4,289.04,0.0,55.66,79.83,0.0,75.9,73.71,41.51,72.23,75.44,40.74,23.4
Aug,274.87,275.81,0.0,276.06,211.34,0.0,116.86,91.55,99.35,122.15,78.56,112.19,31.9
Sep,118.61,129.28,247.83,151.14,136.32,244.5,162.76,0.0,232.52,103.32,1.52,185.08,172.7
Oct,176.96,174.17,130.42,160.99,173.61,137.3,124.91,75.44,109.48,130.01,67.71,104.78,130.4
Nov,61.77,73.92,10.81,57.69,73.66,22.22,45.29,105.4,56.05,46.58,123.38,49.59,16.6
Dec,2.47,16.46,5.45,2.44,16.36,0.0,7.54,17.39,11.55,7.85,16.28,11.82,3.5
