Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,6.57,8.69,13.21,13.36,2.47,0.0,5.54,3.65,3.59,0.0
Feb,5.09,5.63,2.75,3.0,6.66,20.91,0.0,7.37,0.0,0.0
Mar,0.35,0.0,14.46,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Apr,0.05,0.33,2.78,3.21,7.57,9.64,0.0,9.87,12.31,11.0
May,1.98,4.94,0.0,32.38,9.25,0.0,7.52,7.42,7.58,6.5
Jun,16.54,20.91,35.02,30.9,37.2,31.69,27.96,27.6,20.78,106.0
Jul,134.62,148.87,76.43,98.51,141.21,96.09,138.06,147.87,120.78,403.2
Aug,105.29,111.9,83.4,205.64,143.17,127.55,151.58,141.21,133.78,155.4
Sep,135.89,126.63,41.18,48.6,97.73,85.38,77.11,121.88,78.91,121.4
Oct,2.47,9.05,18.0,0.0,6.08,5.32,0.0,7.84,0.23,0.0
Nov,0.19,6.07,12.7,31.44,17.59,13.95,21.02,22.36,20.82,0.0
Dec,0.6,4.89,13.99,1.94,1.83,16.39,0.0,2.53,7.29,0.0
