Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,3.8,0.16,0.23,3.79,0.0,11.0,14.28,0.93,12.11,16.47,9.3,4.1
Feb,0.65,5.6,0.74,0.91,5.6,6.23,14.25,24.63,0.0,12.13,0.0,0.0,18.6
Mar,5.05,11.56,0.0,4.8,11.79,13.89,0.62,1276.1,13.81,0.51,319.94,31.98,0.0
Apr,19.37,22.81,4.95,19.16,21.93,19.75,7.59,902.36,25.95,7.54,803.45,40.27,27.1
May,21.41,33.2,6.47,22.66,35.68,11.72,13.66,0.0,11.37,13.84,0.0,33.95,13.2
Jun,112.71,126.9,145.1,116.03,127.22,145.2,223.71,196.08,163.12,216.19,197.29,165.95,135.3
Jul,182.18,190.32,196.54,183.97,171.72,195.09,218.85,295.48,231.66,219.02,295.48,233.03,348.5
Aug,155.77,175.17,108.48,156.75,123.67,112.37,257.98,262.45,141.64,266.65,218.48,132.7,130.5
Sep,192.8,195.36,105.51,185.49,223.12,105.19,188.92,214.46,121.95,162.67,198.47,123.64,179.6
Oct,70.79,83.19,57.66,68.74,72.66,61.65,203.06,4.75,102.76,177.12,9.69,101.63,178.0
Nov,15.93,27.39,31.26,17.33,27.36,30.54,66.05,0.0,126.52,65.67,0.0,134.93,32.5
Dec,0.18,5.41,0.0,1.57,6.1,14.34,57.6,600.93,30.14,52.94,592.93,38.03,0.7
