Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,20.03,22.46,0.5,19.52,20.86,12.47,13.08,11.61,10.67,11.21,0.0,10.08,0.0
Feb,22.76,21.92,0.0,23.65,21.65,3.51,16.47,8.57,0.0,16.62,11.75,9.71,2.0
Mar,7.78,14.79,0.0,7.49,12.01,3.27,5.1,0.0,0.0,3.73,0.0,2.61,0.0
Apr,4.39,5.32,0.58,2.52,6.44,0.0,17.52,6.59,0.0,7.62,0.75,0.0,18.1
May,3.5,10.85,0.0,1.45,9.7,10.54,6.26,12.49,0.0,7.78,12.73,12.11,14.0
Jun,108.66,117.49,26.67,110.37,111.16,65.67,138.19,73.15,20.29,136.28,50.81,33.55,27.4
Jul,313.71,315.14,0.0,318.77,322.5,0.0,200.11,270.55,361.35,245.7,663.2,358.23,314.9
Aug,285.12,282.82,0.0,284.96,262.81,0.0,279.27,293.2,162.03,281.1,349.32,156.59,456.1
Sep,190.49,184.67,11.52,188.78,138.11,45.73,233.84,189.88,101.1,233.63,209.7,136.62,301.5
Oct,34.85,33.13,0.0,33.21,33.72,0.76,211.65,89.19,53.67,214.85,112.27,57.37,0.0
Nov,0.33,10.2,0.0,0.23,9.65,15.67,0.53,3.37,0.0,0.67,2.52,2.13,0.0
Dec,0.71,4.34,0.0,1.36,4.36,0.0,0.23,0.44,0.0,0.01,0.52,0.0,0.0
