Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,27.12,4.48,6.7,12.87,3.76,3.4,0.67,1.78,4.3,1.0
Feb,11.1,11.15,0.0,5.94,8.33,0.0,11.36,10.6,3.91,23.4
Mar,70.97,23.64,31.16,0.0,44.59,28.0,18.88,24.56,39.58,131.6
Apr,0.0,76.79,15.11,0.0,110.95,107.58,0.0,235.97,106.88,127.9
May,314.19,158.94,51.87,209.23,224.39,181.12,216.16,121.97,178.63,274.6
Jun,322.84,201.41,101.82,261.52,227.67,205.77,241.17,110.13,217.05,260.0
Jul,307.1,317.02,131.07,525.1,356.74,340.98,389.14,358.11,344.81,458.6
Aug,386.39,276.33,114.43,419.3,349.61,336.72,358.12,330.84,345.26,240.3
Sep,294.39,175.46,90.09,294.31,244.17,186.04,196.17,274.76,190.69,206.0
Oct,115.44,103.42,34.19,151.34,95.02,91.92,90.18,0.0,87.88,54.8
Nov,40.19,15.81,16.13,8.1,10.52,3.26,6.72,0.0,8.67,5.0
Dec,59.46,23.65,12.42,24.5,0.0,42.51,0.0,0.0,46.08,31.0
