Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,16.74,16.15,0.0,16.88,14.98,18.72,7.19,19.02,5.82,7.72,14.36,17.99,3.5
Feb,16.95,15.44,0.37,22.98,11.53,4.17,0.0,4.97,4.59,0.0,0.0,28.23,6.1
Mar,8.78,12.53,0.0,10.01,12.41,14.91,0.0,0.0,15.76,0.0,0.0,3.1,1.0
Apr,6.36,7.56,4.87,5.6,6.95,0.0,16.55,9.01,10.4,13.58,0.0,6.22,24.7
May,12.45,14.79,1.23,12.68,14.54,18.92,29.42,16.94,8.3,26.05,18.18,7.95,12.0
Jun,65.35,79.63,49.1,59.77,94.99,63.64,82.13,107.51,37.72,82.26,101.16,64.75,18.6
Jul,240.17,233.92,295.95,245.52,261.66,296.58,410.23,320.07,0.0,368.78,333.24,0.0,372.2
Aug,273.84,262.62,177.49,268.76,259.28,177.09,210.31,210.4,175.76,208.21,172.39,183.58,462.4
Sep,101.65,135.82,169.16,102.11,135.87,164.87,203.27,101.56,141.41,192.15,103.26,147.61,228.4
Oct,8.0,19.6,0.44,9.05,22.79,18.92,38.85,35.71,16.08,38.69,35.57,15.34,23.5
Nov,0.28,3.23,0.44,0.7,4.02,0.31,2.7,4.59,7.66,3.51,3.32,2.44,0.0
Dec,5.86,5.86,0.66,1.91,5.41,14.93,6.21,5.51,12.48,6.2,6.54,0.91,0.0
