Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,6.03,7.87,16.14,0.1,1.09,1.21,0.0,2.57,6.41,0.6
Feb,1.82,3.17,22.45,0.0,2.45,11.77,0.0,1.91,3.56,7.5
Mar,0.13,0.0,11.77,11.44,0.0,6.56,5.38,0.0,7.34,0.0
Apr,0.61,1.39,8.23,1.1,5.22,0.02,2.28,9.16,0.0,7.6
May,0.51,3.72,22.85,0.1,6.56,4.59,5.22,6.48,7.39,4.6
Jun,23.27,33.62,18.52,90.05,64.99,4.18,92.13,57.63,36.77,116.5
Jul,164.4,187.5,118.73,165.46,193.13,138.32,204.09,191.83,161.08,323.6
Aug,177.86,173.65,101.27,563.62,231.88,190.27,235.39,211.47,212.49,205.6
Sep,153.44,154.39,29.59,5.09,94.29,79.29,91.67,188.09,83.63,146.1
Oct,2.26,9.78,0.0,0.0,31.44,18.27,0.0,33.87,28.54,0.0
Nov,0.14,8.02,8.84,1.57,5.8,0.0,0.0,6.86,12.84,0.0
Dec,1.06,5.22,2.02,1.5,4.97,17.21,19.2,14.1,0.0,1.0
