Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.75,10.03,1.2,3.83,10.45,10.41,2.62,7.31,1.5,0.67,10.63,1.4,0.0
Feb,13.72,19.61,0.6,10.79,15.35,16.36,11.53,15.98,6.14,11.0,16.22,12.96,16.1
Mar,17.51,25.32,13.6,22.2,26.99,0.48,1.23,11.18,30.46,3.1,11.41,9.86,2.9
Apr,19.94,38.56,15.21,22.02,41.4,23.07,41.56,55.88,35.46,41.91,46.04,40.35,54.3
May,87.2,97.91,105.68,88.41,102.83,108.96,63.97,104.01,99.15,59.42,102.35,98.33,94.9
Jun,202.25,236.23,111.01,192.3,246.23,122.58,188.9,202.22,127.76,186.73,191.18,132.76,140.9
Jul,279.97,313.72,0.0,291.2,332.36,0.0,338.61,363.64,121.91,339.77,374.37,21.91,185.5
Aug,344.92,305.96,709.52,313.74,277.13,0.0,236.81,231.86,182.21,210.44,223.02,182.66,120.4
Sep,224.34,231.61,141.44,225.69,234.98,149.68,195.5,205.71,137.26,195.65,198.24,139.86,99.6
Oct,105.16,103.41,75.27,98.84,93.27,82.76,184.41,101.73,87.78,198.97,98.62,86.74,72.8
Nov,4.02,9.95,0.0,5.4,9.96,10.04,2.86,9.02,16.99,3.32,9.29,2.32,2.9
Dec,1.93,2.17,14.88,2.28,2.78,0.46,0.0,4.59,16.06,0.98,11.55,6.45,25.4
