Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.45,12.17,0.55,6.0,12.63,11.67,0.0,3.27,8.33,0.16,1.54,10.25,0.0
Feb,9.41,15.12,0.25,6.23,13.27,2.24,6.14,6.87,15.24,6.09,8.66,2.75,0.0
Mar,9.7,10.56,4.65,10.57,10.19,0.0,0.68,7.1,0.0,0.2,7.17,7.0,0.0
Apr,7.54,10.44,3.89,7.26,10.69,3.87,41.16,20.43,0.0,34.75,22.44,0.05,24.1
May,52.84,48.47,69.73,128.21,57.23,50.22,129.51,58.81,54.96,130.5,54.33,57.46,37.3
Jun,94.47,127.03,50.46,97.76,136.65,65.81,91.77,87.34,60.05,90.25,65.73,64.88,54.0
Jul,328.43,335.57,0.0,339.7,330.59,0.0,306.38,263.67,346.85,312.21,343.78,330.29,188.2
Aug,278.01,285.36,180.13,271.19,262.93,181.08,211.6,222.27,195.77,219.08,197.1,193.8,237.1
Sep,195.88,191.74,66.67,188.03,193.23,93.84,261.05,240.52,109.29,264.3,192.12,123.33,57.3
Oct,81.8,77.46,1.25,75.91,76.98,4.89,0.0,60.67,27.17,0.0,0.0,35.54,8.6
Nov,0.22,7.48,0.31,0.24,7.19,0.0,0.0,1.06,11.04,0.0,2.75,9.09,0.0
Dec,0.1,1.86,0.0,0.28,1.42,0.0,0.0,0.63,6.01,0.06,0.04,0.0,0.0
