Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.57,11.14,0.0,5.74,11.78,15.92,0.16,0.2,0.0,0.0,0.0,0.01,0.0
Feb,15.05,22.03,0.23,13.34,18.34,4.44,8.72,21.91,3.35,7.26,18.07,11.85,3.6
Mar,22.22,33.01,6.57,28.18,36.51,26.0,0.0,8.67,11.97,0.0,7.87,0.0,0.6
Apr,44.23,53.23,6.49,42.06,53.1,35.53,40.05,14.61,23.37,38.39,8.88,24.33,66.4
May,84.24,108.01,112.1,76.42,119.66,114.27,81.01,108.78,97.09,79.39,78.73,101.61,87.3
Jun,230.42,235.74,185.14,228.96,252.17,186.89,235.69,202.41,206.0,234.79,202.81,205.52,137.4
Jul,327.14,301.89,208.1,287.43,327.03,180.26,409.63,387.76,360.03,361.78,393.53,351.19,319.9
Aug,286.28,315.48,0.0,290.23,298.71,0.0,169.07,305.66,158.61,182.61,329.35,155.31,188.4
Sep,241.97,237.1,126.17,229.09,247.96,129.13,171.58,187.33,131.35,174.72,188.23,146.33,96.9
Oct,70.39,102.97,111.15,79.38,95.41,113.42,55.84,92.05,103.6,39.76,80.68,100.88,22.9
Nov,4.98,13.22,15.89,5.09,13.67,0.0,18.27,23.79,31.5,19.35,30.72,34.59,1.1
Dec,0.01,2.83,0.0,0.69,3.87,0.0,0.0,1.87,8.13,0.0,8.83,11.42,23.7
