Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.96,12.09,0.0,7.73,6.54,0.0,1.88,8.17,9.67,4.24,15.91,1.34,7.5
Feb,26.85,26.31,0.15,14.2,10.19,0.0,21.59,15.05,0.99,18.63,14.93,2.42,1.1
Mar,134.29,93.72,38.38,93.8,43.62,41.26,15.1,18.15,0.0,13.3,9.94,2.21,32.8
Apr,222.84,214.35,134.03,162.47,123.34,155.05,131.98,96.85,126.71,130.99,95.59,126.76,94.2
May,329.67,378.4,0.0,322.04,148.91,0.0,82.21,109.86,146.03,82.05,109.54,149.11,72.5
Jun,187.13,400.71,0.0,233.27,379.84,0.0,181.83,174.33,203.35,182.79,175.31,210.61,254.9
Jul,203.06,457.62,0.0,228.19,430.87,0.0,245.53,225.45,209.69,228.46,223.15,209.21,157.3
Aug,351.14,424.61,0.0,361.28,422.85,0.0,97.88,119.6,207.75,106.33,113.4,217.78,253.8
Sep,315.69,313.8,0.0,318.11,320.57,0.0,196.38,166.88,174.07,187.05,139.93,180.88,68.5
Oct,172.69,185.05,81.78,176.77,154.53,79.65,27.85,78.96,70.58,26.83,69.33,66.8,14.6
Nov,21.49,32.57,2.08,21.95,16.87,13.51,15.51,17.05,4.01,16.82,2.64,9.21,0.8
Dec,3.01,8.79,0.0,7.07,9.91,15.57,10.58,5.16,8.22,10.0,5.3,7.67,28.5
