Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.49,9.47,0.0,3.51,9.75,17.0,7.04,7.26,1.04,7.25,6.17,0.0,0.0
Feb,4.25,14.37,0.28,4.11,12.08,1.47,5.28,15.07,0.0,10.5,16.51,6.8,18.5
Mar,12.26,16.77,0.0,14.28,16.58,20.24,3.54,28.41,0.0,4.28,25.02,24.49,1.3
Apr,11.53,12.79,0.0,5.52,14.16,2.07,0.1,9.55,2.99,0.0,11.55,12.55,14.4
May,7.53,14.76,8.62,6.87,14.94,2.47,5.67,17.38,0.0,6.2,17.66,13.79,36.4
Jun,166.3,178.76,113.11,163.87,178.0,120.14,120.82,165.78,100.45,128.91,159.82,124.41,242.0
Jul,299.24,312.03,0.0,299.4,305.21,0.0,363.21,350.28,0.0,234.08,375.31,0.0,397.2
Aug,286.83,284.21,294.8,289.61,291.69,288.44,199.99,195.82,204.3,209.19,176.53,195.31,224.7
Sep,186.13,177.76,140.92,181.82,178.16,147.27,207.7,151.39,155.05,187.69,150.94,156.44,111.3
Oct,45.92,46.48,16.72,55.35,46.06,31.17,28.85,56.78,41.95,32.25,60.05,39.93,0.0
Nov,3.03,13.94,0.16,5.73,14.69,8.89,0.2,26.77,24.34,0.26,0.0,30.66,0.0
Dec,0.3,7.79,0.94,0.27,8.52,2.95,0.0,0.12,0.0,0.0,0.82,0.0,12.6
