Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,12.8,15.06,0.0,22.3,14.11,0.17,1.36,2.31,9.29,1.16,8.12,6.96,0.0
Feb,4.41,16.91,0.14,2.48,6.74,23.1,0.32,0.1,5.9,0.53,4.51,1.3,3.5
Mar,4.75,11.05,1.85,4.56,12.11,0.0,9.01,8.56,8.35,9.43,9.02,7.73,0.0
Apr,7.22,10.08,0.0,18.34,9.51,8.2,6.53,14.05,14.7,6.3,13.61,9.06,0.9
May,18.94,21.06,3.89,20.19,34.31,14.3,7.27,41.03,27.75,4.92,32.9,36.29,14.1
Jun,105.24,141.48,26.6,61.47,86.74,30.23,107.19,122.89,64.8,129.83,111.58,34.39,85.6
Jul,298.55,300.96,326.99,309.64,282.98,304.4,167.25,257.54,288.43,304.98,501.4,294.82,221.8
Aug,270.99,268.9,169.76,265.48,283.68,95.83,279.76,237.9,188.29,281.11,195.52,189.55,196.0
Sep,213.82,204.41,77.44,206.89,198.29,93.59,136.76,174.46,95.81,137.8,198.73,112.59,102.8
Oct,74.06,64.55,7.52,73.78,62.48,19.93,62.97,56.56,25.47,58.88,85.92,49.79,8.3
Nov,0.56,5.82,0.19,0.36,5.08,8.95,0.18,0.79,2.71,0.31,1.46,0.0,0.0
Dec,0.1,1.5,0.0,0.06,0.76,10.22,0.1,0.42,0.0,0.06,0.0,0.36,6.1
