Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.97,8.16,20.34,11.7,1.94,11.53,0.0,0.0,6.7,0.0
Feb,2.63,11.41,5.11,25.04,13.76,0.14,11.45,15.78,1.11,17.4
Mar,32.45,25.08,12.46,66.73,54.26,49.78,51.73,54.18,51.72,70.6
Apr,138.55,105.88,63.3,90.17,156.23,159.56,129.92,121.34,184.08,140.5
May,258.0,275.01,124.91,218.5,278.86,239.17,249.28,235.38,253.87,250.8
Jun,297.17,326.68,186.76,416.23,249.7,393.52,310.78,206.53,412.59,387.1
Jul,272.5,282.89,191.6,131.1,230.25,279.32,284.61,220.83,286.91,259.2
Aug,198.43,202.5,167.17,362.12,100.37,248.48,192.41,114.15,257.71,215.0
Sep,317.38,167.66,121.16,224.59,317.1,214.36,317.16,307.3,221.23,341.8
Oct,101.72,120.3,38.99,89.47,77.16,66.31,107.0,157.1,72.23,33.3
Nov,8.34,14.27,17.24,20.62,8.09,7.23,10.72,9.83,3.78,28.8
Dec,1.02,4.06,0.0,0.92,0.24,1.81,0.0,3.4,0.39,21.2
