Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,14.08,15.29,0.0,18.11,19.08,0.0,30.81,19.46,13.78,32.05,31.66,1.93,0.0
Feb,7.41,19.76,0.85,3.96,11.36,23.21,0.07,7.22,0.0,0.09,5.19,8.24,0.0
Mar,5.61,13.4,0.0,5.02,9.44,0.0,0.73,2.81,0.0,1.01,2.67,5.99,0.0
Apr,15.41,12.14,0.0,5.18,11.39,19.82,6.28,0.0,0.0,0.0,0.0,4.49,6.9
May,15.71,26.69,0.0,14.88,27.71,1.91,18.77,19.32,0.0,17.65,18.38,13.68,9.5
Jun,83.42,162.81,20.46,82.6,163.19,55.32,60.31,73.36,21.02,60.45,92.54,34.86,64.9
Jul,314.0,301.27,288.49,312.19,287.05,272.24,38.94,225.2,264.16,32.38,287.78,262.13,292.5
Aug,306.2,302.98,0.0,282.06,242.1,0.0,268.62,237.8,195.98,267.15,219.47,200.4,207.8
Sep,223.91,215.62,44.38,189.73,144.42,50.53,177.71,165.69,59.52,162.14,85.82,91.49,162.5
Oct,84.71,68.32,18.66,89.91,77.92,39.09,39.47,34.02,30.03,39.08,13.53,29.56,3.3
Nov,0.69,6.06,0.5,0.42,6.01,6.17,1.02,5.0,5.82,0.56,1.56,0.0,0.0
Dec,0.27,2.95,0.32,0.46,2.83,0.0,0.1,1.17,0.0,0.27,1.55,0.0,3.6
