Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.85,12.11,0.88,2.76,14.75,9.79,17.1,32.35,14.42,17.17,24.21,7.02,0.0
Feb,22.36,24.17,0.0,14.91,18.79,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0
Mar,6.43,18.7,0.0,17.84,18.86,32.45,30.68,19.29,43.03,20.37,8.79,9.15,0.2
Apr,22.88,33.01,2.24,22.73,39.31,8.65,74.72,128.91,15.18,75.86,136.3,31.84,62.8
May,44.61,45.15,10.19,53.42,59.52,15.12,113.22,90.89,45.74,116.74,91.07,50.79,107.8
Jun,158.91,174.22,104.8,154.11,184.19,111.82,174.87,154.53,125.28,169.06,152.41,124.02,106.3
Jul,243.36,263.54,274.27,243.01,293.35,274.91,359.39,335.33,8819070976.0,347.15,338.83,0.0,407.2
Aug,259.16,254.36,221.06,247.02,265.34,221.49,250.5,276.58,209.45,252.73,272.49,213.44,187.4
Sep,220.5,206.71,160.65,218.98,229.61,164.64,286.93,281.99,190.63,281.16,307.79,180.93,271.8
Oct,102.49,161.86,124.04,126.83,181.88,126.57,108.67,147.87,163.95,101.7,181.17,168.0,245.3
Nov,57.5,41.4,9.05,56.28,43.03,28.65,94.96,48.29,45.22,60.05,34.02,51.42,0.0
Dec,0.27,2.53,0.0,0.33,3.7,9.8,9.87,15.24,6.06,12.15,27.91,20.12,48.5
