Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.95,2.48,0.0,0.0,0.0,0.0,1.54,0.0,9.11,0.0
Feb,0.27,1.0,0.0,0.1,0.3,0.0,0.64,0.26,0.0,0.0
Mar,0.07,2.27,0.0,0.0,0.0,7.85,0.0,0.0,0.0,0.0
Apr,0.12,2.04,0.0,0.1,22.36,6.28,0.18,29.87,12.63,0.0
May,8.37,6.1,0.0,0.3,0.0,8.75,1.06,0.0,14.03,0.0
Jun,63.41,54.45,44.11,88.2,51.25,43.7,89.9,51.08,57.89,143.5
Jul,299.49,292.49,72.67,386.1,307.67,274.68,354.21,354.83,286.68,355.2
Aug,217.79,279.47,84.23,337.45,300.28,297.78,293.9,348.54,298.42,295.0
Sep,135.96,274.28,32.07,129.61,137.62,111.13,128.54,77.7,116.49,264.7
Oct,4.98,22.23,0.0,0.0,17.39,9.7,3.44,21.89,30.94,0.0
Nov,0.3,21.24,25.73,0.0,5.14,0.0,0.0,7.24,0.0,0.0
Dec,0.0,3.91,0.0,0.0,0.74,0.0,0.0,0.27,8.18,0.3
