Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.76,6.26,0.0,0.0,0.0,14.5,4.81,8.27,14.53,0.7
Feb,1.02,7.33,14.58,0.0,0.98,15.36,0.1,7.35,7.42,0.2
Mar,0.05,7.53,9.31,12.67,3.68,8.9,0.0,4.6,8.71,30.1
Apr,6.07,14.37,15.02,11.99,17.59,0.59,13.2,17.6,14.29,8.4
May,20.05,47.58,16.25,125.23,98.73,38.44,45.27,116.5,65.22,20.9
Jun,34.68,36.54,18.41,26.31,98.17,67.25,30.8,214.84,86.77,60.9
Jul,75.56,54.21,41.21,72.9,56.84,60.04,50.41,50.02,96.3,34.3
Aug,88.13,76.24,48.38,92.57,84.25,93.96,71.2,159.87,119.9,51.4
Sep,152.98,33.08,48.33,133.34,144.86,90.68,166.64,146.41,89.55,42.1
Oct,172.68,111.06,52.5,69.7,120.84,135.54,143.03,154.33,136.78,56.8
Nov,124.17,194.17,32.61,195.43,268.5,281.24,201.28,248.17,298.9,168.0
Dec,40.12,58.18,18.2,190.5,136.76,123.01,112.85,135.81,123.45,54.0
