Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.2,3.27,0.0,18.27,0.36,6.34,12.55,1.02,0.0,0.0
Feb,0.02,5.13,0.0,0.0,1.15,0.0,0.0,3.01,0.0,6.3
Mar,20.67,12.22,0.0,10.5,8.96,17.51,13.0,11.94,13.12,0.0
Apr,17.06,23.74,0.0,1.2,10.02,0.0,6.54,14.92,2.54,11.5
May,31.46,35.05,0.0,18.15,0.0,0.0,17.96,0.0,12.87,8.2
Jun,114.67,147.82,52.56,203.74,137.0,84.32,136.2,145.06,96.05,214.9
Jul,105.34,207.6,27.73,132.76,191.73,154.62,201.9,144.58,154.1,93.4
Aug,80.95,164.78,29.4,76.64,144.65,123.84,98.83,44.15,133.02,130.9
Sep,237.3,221.67,59.93,124.12,98.38,144.31,183.52,106.13,158.97,40.1
Oct,63.17,81.41,6.87,65.23,60.87,46.65,10.87,46.72,53.56,49.6
Nov,14.64,26.88,20.66,25.86,44.53,23.24,19.64,58.29,21.99,17.3
Dec,0.2,2.38,17.1,1.13,4.51,0.0,1.46,4.81,1.93,0.0
