Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,12.04,16.25,0.0,0.1,13.38,5.56,1.32,20.42,5.85,8.0
Feb,5.42,7.76,0.0,17.05,4.81,11.45,0.0,5.62,13.47,8.6
Mar,0.0,1.32,0.0,12.3,18.11,0.0,9.78,9.15,26.6,0.0
Apr,0.34,1.38,9.23,5.6,6.75,6.09,0.0,4.98,0.0,4.0
May,1.92,5.11,0.0,0.0,10.18,8.24,2.27,10.67,0.0,17.5
Jun,18.77,21.79,0.43,68.96,53.59,9.85,32.22,48.53,32.64,17.9
Jul,113.02,111.33,74.75,73.1,100.95,62.98,86.58,118.54,86.92,150.7
Aug,99.86,113.13,46.2,137.02,111.45,88.66,147.1,123.58,102.33,92.4
Sep,177.64,137.5,10.58,44.82,102.61,80.17,41.15,111.33,91.81,156.4
Oct,17.99,11.77,0.0,0.05,9.24,1.43,0.0,19.07,9.12,0.0
Nov,0.09,5.6,17.0,1.85,3.38,7.94,2.49,3.09,8.19,0.8
Dec,4.22,5.98,0.0,0.0,2.53,0.0,1.07,3.46,0.0,0.0
