Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,12.66,20.3,0.0,10.7,15.93,0.0,24.09,24.07,14.89,20.35,13.81,14.89,0.0
Feb,7.18,16.6,0.0,5.45,17.03,0.0,3.36,4.04,4.13,1.96,0.0,8.41,6.5
Mar,8.51,13.05,0.11,9.15,11.25,14.09,0.29,5.35,9.57,1.28,5.29,5.75,0.0
Apr,3.45,7.03,0.0,3.82,12.56,2.91,0.1,28.14,0.0,0.59,33.83,0.0,0.0
May,6.95,6.46,10.04,8.48,6.74,0.0,12.67,11.11,11.8,17.15,9.48,0.0,0.0
Jun,106.54,113.8,34.34,104.99,108.51,67.0,65.14,101.68,38.37,64.94,87.31,59.21,23.7
Jul,329.17,348.42,0.0,345.74,357.44,0.0,317.49,333.71,0.0,344.18,574.89,0.0,404.9
Aug,362.54,375.29,0.0,375.07,375.33,0.0,246.79,422.63,0.0,246.33,410.15,0.0,257.1
Sep,159.46,164.22,72.17,158.22,144.64,91.89,43.39,91.5,70.85,43.27,47.55,79.11,198.4
Oct,7.42,28.58,0.0,4.57,25.92,10.41,173.54,104.87,35.33,170.52,83.96,30.93,0.0
Nov,0.85,14.53,0.01,0.57,12.96,2.7,0.0,0.0,4.03,0.0,0.0,15.02,0.0
Dec,1.32,9.36,0.79,2.24,6.74,3.15,0.0,0.0,0.0,0.0,0.0,5.1,0.0
