Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,20.18,21.8,4.57,11.89,0.0,2.8,37.82,1.33,6.81,0.0
Feb,0.22,6.25,0.0,0.0,3.28,0.0,0.0,2.46,7.41,6.5
Mar,1.82,0.0,0.0,22.93,0.0,11.85,25.75,0.0,0.0,0.0
Apr,0.76,2.79,17.43,0.1,8.52,16.01,0.0,5.55,0.0,0.0
May,1.24,1.3,10.53,0.0,2.71,0.0,0.14,2.27,3.17,0.0
Jun,42.87,58.45,32.58,55.89,74.92,22.85,47.82,44.79,58.39,23.7
Jul,206.5,259.08,138.36,341.4,294.8,262.37,347.28,371.58,293.58,404.9
Aug,286.03,340.18,137.72,337.88,371.82,344.23,299.2,451.43,348.71,257.1
Sep,195.2,190.53,38.96,86.4,112.44,94.57,107.98,193.93,92.29,198.4
Oct,6.63,9.4,0.0,0.0,18.2,31.31,10.88,9.2,48.36,0.0
Nov,9.32,10.18,25.23,0.0,0.93,7.84,2.64,0.0,0.0,0.0
Dec,10.71,10.55,0.0,0.0,2.18,0.0,4.15,8.21,2.98,0.0
