Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.57,4.95,14.29,14.09,5.5,9.97,13.69,7.98,0.0,0.0
Feb,1.35,6.36,5.6,0.1,1.47,2.64,0.0,3.41,0.0,7.4
Mar,1.56,11.6,18.39,4.8,8.93,14.43,0.13,9.21,14.78,2.3
Apr,5.52,12.94,0.0,1.4,7.12,9.21,0.0,10.77,22.25,2.9
May,7.19,3.13,0.0,18.43,2.79,0.0,0.0,2.47,0.0,6.8
Jun,102.59,112.45,48.0,101.7,103.88,55.16,103.74,107.85,80.64,202.0
Jul,135.52,146.52,53.43,114.59,109.54,162.62,115.64,112.92,166.36,140.4
Aug,171.84,178.26,60.37,85.45,151.09,145.97,104.36,76.65,151.05,236.5
Sep,149.16,166.37,82.34,62.55,82.75,143.03,59.16,110.48,144.87,24.9
Oct,57.14,47.63,20.33,9.8,39.29,47.16,3.93,32.03,54.39,0.0
Nov,19.19,26.8,24.23,0.48,21.95,5.6,0.2,19.72,15.78,0.0
Dec,0.85,5.73,0.0,18.64,3.3,22.63,3.38,4.57,2.72,0.0
