Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,11.94,15.03,0.19,12.14,15.77,0.0,0.0,4.34,0.0,0.0,2.83,4.59,0.0
Feb,8.56,18.9,0.0,7.53,15.83,3.92,14.53,8.71,0.0,14.84,9.42,2.06,0.0
Mar,13.04,12.19,7.85,11.69,11.85,15.09,3.52,9.42,14.12,4.65,21.77,17.49,0.7
Apr,2.94,8.94,7.75,1.19,8.59,18.21,0.0,7.69,13.72,1.31,8.87,0.0,7.6
May,21.21,25.34,17.69,23.37,26.81,25.78,17.72,50.02,23.1,21.16,49.02,32.74,17.0
Jun,118.94,138.62,50.43,117.3,140.52,55.41,96.9,91.05,64.15,96.82,77.66,61.62,42.0
Jul,363.82,300.98,290.53,324.62,299.18,0.0,290.69,277.6,273.21,290.31,424.89,274.57,260.3
Aug,262.67,277.38,95.19,247.28,241.75,44.73,192.85,219.81,158.46,192.83,208.85,174.76,224.6
Sep,217.08,204.46,90.16,195.74,190.15,89.46,230.47,244.64,108.05,227.71,203.12,113.9,96.8
Oct,65.76,62.66,10.22,68.61,65.14,28.79,0.0,56.75,14.86,0.0,18.04,47.0,1.4
Nov,0.43,6.58,0.0,0.42,6.63,0.0,0.0,3.37,0.0,0.0,3.23,0.94,0.0
Dec,0.1,1.48,1.0,0.24,1.47,13.21,0.05,0.01,3.78,0.05,0.01,0.0,1.1
