Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,8.07,12.2,2.64,6.75,12.92,4.56,3.85,17.51,9.4,3.91,18.45,7.96,4.0
Feb,8.78,25.87,1.53,4.17,16.29,16.85,0.98,4.85,2.04,1.05,0.0,7.64,6.0
Mar,55.38,60.86,50.96,61.66,61.22,57.56,19.46,70.29,66.08,14.43,65.35,50.92,22.0
Apr,107.71,121.28,93.2,115.54,120.59,94.04,150.9,80.64,96.7,94.28,140.82,100.36,101.0
May,157.56,201.93,67.92,164.42,193.93,70.31,155.43,113.95,78.72,135.57,115.73,83.2,105.0
Jun,298.01,336.8,0.0,316.62,326.08,0.0,378.77,212.2,197.25,423.26,256.21,200.26,188.5
Jul,344.59,350.58,0.0,310.2,361.75,0.0,333.69,272.14,199.09,328.77,179.21,166.12,246.3
Aug,336.82,312.3,0.0,307.71,313.9,0.0,266.89,230.49,227.92,256.93,179.01,228.37,250.5
Sep,201.41,218.78,164.37,208.71,217.41,162.74,201.87,167.92,178.78,201.09,181.97,174.39,96.0
Oct,136.17,149.13,149.5,134.1,149.97,150.05,155.85,209.68,155.31,163.76,269.48,155.71,38.0
Nov,23.61,34.95,5.25,19.33,29.93,12.32,13.48,17.28,18.18,13.5,29.56,17.94,0.9
Dec,5.11,8.34,3.97,9.91,10.01,0.0,4.62,6.89,0.0,4.26,9.35,0.0,29.0
