Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,17.63,18.61,18.84,15.55,12.59,17.64,13.94,16.0,16.56,2.0
Feb,8.02,10.7,0.0,7.98,18.34,0.0,12.35,20.75,3.25,2.1
Mar,2.38,1.86,16.7,0.0,0.0,0.0,0.24,0.0,7.42,3.1
Apr,5.96,7.25,0.0,10.29,5.96,4.74,7.35,4.16,0.0,17.4
May,13.45,14.55,15.41,0.0,19.23,0.0,18.16,19.25,15.5,8.0
Jun,54.26,56.97,58.72,0.0,101.24,54.73,33.08,80.33,56.9,38.9
Jul,217.93,239.14,118.66,138.45,208.65,179.41,198.96,200.96,198.64,214.5
Aug,402.13,350.38,115.67,318.49,204.89,185.12,198.58,111.89,183.68,381.4
Sep,278.56,242.68,46.18,172.6,144.99,120.71,134.0,160.85,121.79,98.3
Oct,20.65,63.48,12.08,8.22,4.29,27.95,1.36,26.04,15.53,6.6
Nov,3.35,4.52,0.0,1.22,2.22,17.43,2.38,2.26,0.0,0.7
Dec,6.62,10.45,0.0,0.8,1.31,0.0,10.81,9.61,0.0,0.0
