Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.09,10.16,0.0,0.0,26.31,20.98,3.41,9.46,7.33,17.3
Feb,38.08,24.38,18.16,59.99,48.85,37.44,8.99,2.5,22.94,23.3
Mar,46.37,10.19,4.6,18.8,35.13,8.79,10.91,17.23,27.39,38.1
Apr,60.55,55.65,18.8,17.42,78.66,14.71,76.93,77.76,45.84,91.2
May,44.94,55.34,45.11,0.0,78.35,43.38,0.0,62.03,39.28,95.5
Jun,276.0,182.9,59.29,127.77,215.74,140.79,124.42,230.8,144.08,231.5
Jul,513.9,451.35,117.48,440.01,449.17,421.84,495.64,449.01,433.08,568.4
Aug,510.49,416.3,84.19,416.1,390.76,345.38,416.62,190.64,352.38,523.2
Sep,162.39,163.41,47.35,132.9,204.92,200.16,169.0,156.09,204.9,226.0
Oct,86.98,53.68,28.73,14.7,26.43,37.56,0.0,0.0,36.74,5.6
Nov,1.18,3.17,6.97,7.99,2.43,0.0,2.42,1.0,9.82,21.1
Dec,1.28,12.97,0.0,11.73,14.65,21.89,8.34,12.82,12.34,6.2
