Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,35.79,73.43,0.0,10000,58.38,51.02,10000,0.0,47.02,
Feb,179.54,168.55,0.05,10000,337.86,109.32,10000,370.98,107.48,
Mar,85.17,93.75,4.01,10000,25.75,20.55,10000,75.59,39.7,
Apr,156.81,152.56,2.95,10000,117.49,68.16,10000,323.8,80.14,
May,73.06,84.82,6.42,10000,103.21,45.05,10000,85.3,30.56,
Jun,35.19,98.47,24.37,10000,47.57,28.13,10000,170.3,38.86,
Jul,131.93,333.08,61.7,10000,165.08,130.3,10000,205.8,140.49,
Aug,136.42,350.7,63.05,10000,378.52,169.98,10000,0.0,176.61,
Sep,348.19,254.98,17.67,10000,60.83,156.68,10000,0.0,186.01,
Oct,47.06,51.49,11.49,10000,21.29,28.42,10000,20.87,15.33,
Nov,30.48,34.14,8.95,10000,49.42,18.48,10000,0.0,10.95,
Dec,2.96,28.77,0.34,10000,0.0,0.0,10000,5.83,6.9,
