Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,0.44,0.0,0.1,0.49,10.84,0.24,3.04,5.62,1.08,3.28,0.0,0.0
Feb,0.11,1.14,0.02,0.1,0.66,0.0,0.01,0.17,0.83,0.11,0.2,6.99,0.0
Mar,0.41,1.45,0.0,0.69,4.26,0.0,8.67,9.85,15.95,7.92,21.53,3.48,0.7
Apr,4.42,12.29,0.0,2.77,14.71,6.14,4.05,13.45,3.83,3.59,16.47,18.71,5.4
May,9.24,24.77,12.0,15.14,24.54,19.47,16.6,18.26,3.95,17.61,19.98,6.45,6.8
Jun,272.18,307.63,0.0,299.66,254.26,0.0,50.23,39.42,93.43,46.68,55.58,94.26,185.6
Jul,507.88,439.83,0.0,439.07,393.99,0.0,620.19,403.19,320.75,635.06,394.91,263.84,486.6
Aug,273.68,264.92,238.88,265.32,274.37,241.72,92.58,247.75,191.77,33.66,273.72,187.69,268.9
Sep,208.95,197.56,167.92,185.36,196.11,171.43,139.78,134.31,190.38,131.19,121.19,178.66,58.7
Oct,47.55,82.21,79.32,53.28,87.11,80.34,84.29,88.37,99.62,87.8,88.47,97.81,33.8
Nov,21.73,26.92,6.37,22.02,30.18,21.36,24.44,9.81,23.85,25.1,65.22,16.61,20.0
Dec,0.18,4.29,0.25,0.31,3.45,1.71,5.3,2.65,0.0,3.68,5.09,3.03,0.0
