Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,0.26,0.0,0.0,4.04,6.52,4.56,4.59,2.5,0.0
Feb,0.43,1.01,0.0,0.0,0.03,0.0,0.02,0.6,6.23,0.0
Mar,1.35,3.35,0.0,1.75,3.81,13.18,0.79,21.25,10.59,0.7
Apr,12.64,10.36,0.0,4.4,0.0,10.16,15.93,0.0,15.76,5.4
May,16.02,4.08,27.97,33.85,19.7,9.76,20.74,21.03,7.56,6.8
Jun,407.71,396.74,80.28,74.61,138.96,129.63,126.42,163.48,136.36,185.6
Jul,470.35,441.35,100.55,303.29,297.79,281.82,301.41,551.02,287.46,486.6
Aug,93.92,248.92,64.78,168.1,214.33,189.25,192.9,248.77,193.12,268.9
Sep,227.51,200.13,38.15,33.29,159.23,147.05,156.13,155.24,145.35,58.7
Oct,73.78,64.01,42.46,39.29,74.44,66.05,0.0,61.01,70.65,33.8
Nov,10.22,26.29,0.0,10.27,28.2,22.44,8.48,24.29,31.32,20.0
Dec,0.06,2.17,0.0,5.29,3.19,2.91,1.42,7.57,0.14,0.0
