Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.0,9.58,0.0,0.0,35.96,1.23,2.43,37.31,5.78,0.1
Feb,3.31,0.0,20.32,4.07,2.31,0.83,1.97,2.8,1.17,0.0
Mar,0.0,0.0,0.0,0.9,5.28,0.0,1.16,5.52,9.66,0.2
Apr,34.29,10.39,0.0,4.36,27.53,14.97,28.38,51.94,21.84,51.9
May,68.49,39.48,0.0,37.46,41.19,67.06,62.52,103.16,63.17,147.9
Jun,172.96,80.54,63.65,23.9,103.83,108.58,105.97,105.94,122.07,196.5
Jul,261.72,281.56,76.07,270.1,300.02,276.41,254.05,246.42,291.56,652.6
Aug,250.1,267.85,68.03,258.6,275.27,245.19,272.81,260.57,258.82,395.9
Sep,209.56,220.98,49.0,187.13,237.57,213.12,213.11,238.75,227.1,320.3
Oct,177.04,127.03,25.12,128.17,153.88,170.55,143.43,165.67,182.65,235.1
Nov,48.25,55.79,12.17,124.37,70.96,57.4,77.77,49.09,64.27,3.5
Dec,12.07,12.01,20.61,2.56,3.77,16.71,0.0,25.84,19.85,7.1
