Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,1.37,0.29,0.1,1.37,0.0,0.0,1.86,0.62,0.0,1.15,4.94,0.0
Feb,0.1,1.02,0.0,0.1,0.81,0.0,0.1,4.19,0.0,0.12,4.57,0.0,0.1
Mar,1.12,5.93,0.0,1.95,5.85,2.92,0.0,0.0,0.0,0.0,0.0,4.19,0.0
Apr,20.99,27.1,0.52,16.66,32.6,0.0,0.0,23.72,0.0,0.0,29.24,14.26,14.7
May,32.31,48.49,14.82,36.86,47.46,37.36,32.95,44.1,26.92,33.9,42.33,27.77,19.6
Jun,50.58,60.09,70.84,49.62,61.7,70.03,37.78,78.41,73.2,35.33,107.93,72.48,81.9
Jul,47.47,66.92,13.2,50.32,86.44,17.59,142.29,100.52,26.23,139.55,117.72,55.49,24.4
Aug,72.56,75.47,95.29,82.33,93.83,107.38,211.92,109.79,96.91,217.34,155.23,99.32,55.0
Sep,137.89,134.71,217.17,137.39,142.17,211.71,203.66,249.56,207.73,203.12,195.57,222.85,53.8
Oct,116.24,118.85,133.18,114.68,114.46,133.39,41.14,70.61,53.21,37.25,33.53,62.17,42.2
Nov,22.58,32.59,0.14,5.07,29.42,0.0,1.1,6.39,16.23,0.42,1.92,20.73,0.0
Dec,0.17,6.69,0.0,0.36,7.3,0.0,0.0,2.17,8.3,0.66,1.97,3.83,0.0
