Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.82,5.73,10.93,0.0,0.0,0.0,0.0,0.0,0.19,0.0
Feb,1.96,2.65,0.0,0.14,0.0,1.39,0.0,0.0,1.92,0.0
Mar,0.14,3.13,0.0,0.1,0.0,0.0,0.0,0.51,15.69,3.7
Apr,0.29,3.15,0.0,22.38,11.96,4.74,7.59,12.06,17.27,3.8
May,1.31,6.27,0.0,0.0,0.0,15.62,3.36,0.0,0.0,0.0
Jun,97.77,106.52,24.15,133.71,93.47,70.57,111.82,96.71,85.89,141.6
Jul,339.02,372.73,91.9,408.54,409.24,401.29,410.56,485.78,415.33,309.5
Aug,318.95,328.48,62.23,128.45,294.51,304.65,362.12,406.95,308.88,174.8
Sep,95.72,309.76,54.03,99.2,90.51,75.78,99.22,89.24,79.63,175.6
Oct,7.52,17.03,22.4,9.76,27.61,5.01,17.24,39.97,38.03,0.0
Nov,4.6,15.13,21.94,0.0,3.55,11.82,0.0,2.13,3.45,0.0
Dec,2.22,8.54,0.0,0.0,4.99,0.0,18.07,9.18,1.34,0.0
