Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,16.61,16.38,8.83,12.1,13.46,4.39,14.67,17.8,21.7,0.0
Feb,11.97,8.51,0.0,13.91,16.51,14.51,8.93,21.13,21.02,0.7
Mar,1.23,0.97,26.53,9.42,8.87,0.0,15.84,5.19,0.0,0.0
Apr,1.97,4.62,4.16,14.66,8.59,14.1,12.69,6.76,15.02,7.9
May,4.99,8.58,1.38,3.03,11.68,3.89,0.53,10.87,18.66,3.1
Jun,35.65,37.6,37.98,25.12,57.91,12.4,51.74,58.67,41.98,21.9
Jul,171.48,187.75,107.5,170.57,183.9,139.89,191.44,193.05,166.48,153.8
Aug,370.68,319.77,88.95,152.91,183.6,150.49,161.59,160.13,158.6,336.3
Sep,188.72,238.27,37.05,93.07,127.39,103.2,92.48,157.86,105.36,92.7
Oct,57.75,50.06,24.57,0.0,20.71,9.61,0.05,36.73,17.91,14.4
Nov,0.38,5.31,0.0,2.1,20.13,5.98,0.0,20.35,5.16,0.0
Dec,5.17,9.83,6.25,0.8,6.56,6.97,3.52,32.36,0.77,0.0
