Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,34.91,29.38,0.0,48.67,6.69,6.19,93.19,6.87,16.85,0.0
Feb,3.64,4.22,0.0,3.03,0.0,4.04,0.0,0.0,5.12,18.1
Mar,0.02,0.0,0.0,19.56,0.0,9.5,48.01,0.0,8.7,0.0
Apr,0.82,2.68,16.55,6.14,10.24,0.0,5.96,7.55,2.24,1.0
May,1.2,3.14,0.0,0.0,4.68,0.0,2.99,4.65,0.0,43.7
Jun,79.21,85.14,57.45,126.76,71.88,32.62,96.39,90.29,47.74,76.8
Jul,230.57,267.5,131.35,518.09,340.88,287.59,387.95,389.76,306.62,243.5
Aug,286.12,316.71,104.44,163.81,269.62,256.63,220.12,320.12,260.89,432.7
Sep,169.15,182.73,58.67,189.26,143.76,110.35,140.52,160.16,117.77,110.6
Oct,5.94,17.91,5.6,57.7,51.18,35.63,82.03,37.4,45.83,2.1
Nov,4.66,12.01,22.27,0.1,0.0,17.21,0.0,0.0,11.05,0.0
Dec,2.21,6.92,14.59,0.0,3.09,3.55,4.69,9.56,0.0,0.0
