Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,21.76,19.16,0.64,23.85,12.52,0.0,1.59,2.38,0.0,3.62,4.57,0.0,0.0
Feb,11.98,18.58,0.0,8.44,18.99,9.4,0.0,6.58,9.9,0.0,0.0,10.93,2.2
Mar,4.41,13.46,0.0,1.04,15.52,11.41,0.0,0.0,0.0,0.0,1.05,8.42,0.0
Apr,6.41,9.1,1.2,10.2,11.63,0.0,0.0,5.87,0.0,0.16,3.22,12.88,0.2
May,18.77,15.73,9.55,10.45,15.62,19.53,4.76,15.54,11.3,4.03,9.77,14.64,3.8
Jun,98.71,124.86,33.98,96.07,121.16,60.38,75.34,88.81,43.51,75.7,123.02,53.62,73.3
Jul,353.01,327.08,244.51,296.32,344.96,347.84,466.04,433.48,460.8,464.05,439.27,413.42,221.8
Aug,303.95,310.79,1077.44,310.55,245.28,0.0,280.66,238.27,233.35,272.36,223.44,234.51,219.7
Sep,179.47,187.63,29.13,192.02,153.83,42.45,248.69,171.48,51.99,249.09,163.5,61.07,147.9
Oct,54.3,47.81,3.37,52.66,50.29,15.31,77.44,51.91,14.58,77.16,39.48,19.48,3.4
Nov,0.28,8.72,0.0,0.08,8.86,3.66,0.35,2.05,6.3,2.24,1.7,0.0,0.0
Dec,0.2,2.73,0.0,0.12,2.13,0.0,0.0,0.12,7.64,0.03,0.12,14.94,4.0
