Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.0,34.87,0.46,10000,10000,10000,10000,10000,10000,0.0
Feb,45.33,32.48,14.99,10000,10000,10000,10000,10000,10000,27.1
Mar,26.01,24.68,16.63,10000,10000,10000,10000,10000,10000,13.0
Apr,28.7,25.42,0.0,10000,10000,10000,10000,10000,10000,59.4
May,27.51,27.94,0.0,10000,10000,10000,10000,10000,10000,78.8
Jun,61.26,200.88,9.59,10000,10000,10000,10000,10000,10000,105.3
Jul,280.82,452.22,62.39,10000,10000,10000,10000,10000,10000,109.1
Aug,182.47,424.73,65.26,10000,10000,10000,10000,10000,10000,155.5
Sep,154.15,276.59,33.17,10000,10000,10000,10000,10000,10000,203.3
Oct,14.06,25.12,0.0,10000,10000,10000,10000,10000,10000,365.2
Nov,8.88,10.26,0.0,10000,10000,10000,10000,10000,10000,286.2
Dec,37.55,19.41,1.79,10000,10000,10000,10000,10000,10000,141.0
