Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.2,22.59,15.82,20.03,23.24,24.23,0.0,39.22,35.97,0.0,32.54,37.42,2.0
Feb,18.95,21.34,2.25,30.95,16.38,2.28,2.84,22.15,6.47,2.85,0.0,29.85,10.3
Mar,14.26,14.71,0.0,13.16,16.43,0.0,0.0,0.0,17.28,0.0,0.0,23.72,3.7
Apr,5.36,10.32,8.36,6.07,10.55,11.81,18.24,16.98,0.0,18.28,16.79,11.84,15.3
May,17.1,18.2,0.0,16.99,17.49,0.0,0.0,1.1,0.0,0.0,14.74,20.81,11.3
Jun,119.3,60.44,105.98,124.56,79.5,99.04,13.82,52.78,38.12,13.81,2.14,48.44,113.9
Jul,230.92,230.19,111.82,235.73,234.33,116.33,373.8,303.81,134.68,383.41,249.35,166.51,449.7
Aug,251.09,234.81,154.64,242.88,227.7,163.08,215.04,214.22,175.25,203.77,198.79,172.76,262.5
Sep,83.19,104.74,126.26,81.74,106.62,125.42,136.65,64.22,151.19,135.76,10.26,154.22,151.1
Oct,5.27,14.13,0.6,7.15,22.1,12.37,33.01,39.02,38.57,32.94,33.68,34.62,34.3
Nov,0.53,5.94,0.15,0.78,8.17,0.0,0.0,6.8,16.62,0.0,1.9,3.35,0.7
Dec,5.82,8.0,0.0,5.94,7.56,11.42,6.74,12.21,4.91,7.47,12.42,16.04,1.0
