Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.46,7.53,0.0,4.01,8.78,0.0,0.0,2.02,0.15,0.0,28.62,5.2,0.0
Feb,21.9,17.87,0.0,25.02,19.72,0.0,21.9,13.26,19.09,22.24,16.39,16.62,1.0
Mar,22.62,37.86,6.62,23.35,30.67,3.95,15.61,9.64,8.36,15.67,0.0,9.9,
Apr,84.77,101.21,33.36,87.49,105.0,41.84,24.51,29.32,55.55,25.76,339.6,69.09,
May,340.78,304.55,0.0,310.41,298.39,0.0,233.54,39.95,253.14,228.79,962.27,248.99,
Jun,699.53,692.84,0.0,705.03,658.07,0.0,325.76,360.7,0.0,329.28,455.36,0.0,
Jul,459.93,640.33,0.0,549.92,669.18,0.0,259.83,222.58,365.73,263.66,208.98,364.42,
Aug,489.68,645.23,0.0,613.61,645.64,0.0,511.48,1004.48,0.0,490.98,867.8,0.0,
Sep,399.59,391.64,0.0,384.92,422.73,0.0,697.08,361.17,0.0,673.33,366.78,0.0,
Oct,243.4,226.69,146.17,219.02,232.71,150.79,332.24,0.0,221.09,296.58,0.0,225.43,
Nov,34.63,74.46,0.87,31.35,62.95,7.63,3.06,0.0,18.96,2.58,0.0,7.98,
Dec,4.94,10.42,0.0,4.68,11.92,15.96,0.0,0.0,0.0,0.0,0.0,0.99,
