Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.3,8.71,15.53,41.63,0.0,17.48,41.28,0.0,0.89,0.0
Feb,3.64,3.35,2.18,12.52,0.0,0.61,27.33,0.0,3.36,0.2
Mar,9.53,0.0,26.26,0.0,6.14,16.26,0.0,6.65,0.0,1.0
Apr,15.32,6.89,31.79,49.09,21.22,9.12,35.49,24.79,25.27,46.0
May,27.71,11.0,30.26,26.3,25.41,0.0,27.69,24.6,16.54,100.7
Jun,108.46,125.96,97.02,208.79,146.42,92.94,214.93,89.83,130.58,178.5
Jul,238.82,329.44,127.13,453.53,380.57,335.56,397.29,388.51,351.57,537.1
Aug,294.71,384.08,122.65,296.89,308.96,340.48,328.03,376.35,350.93,474.9
Sep,195.02,199.14,49.5,282.8,194.92,177.98,160.02,244.17,181.55,192.4
Oct,33.48,48.78,32.92,79.61,47.93,73.17,64.16,83.78,71.24,13.6
Nov,17.21,12.02,0.0,0.1,14.88,2.94,2.01,7.61,13.91,1.0
Dec,1.22,3.55,2.24,0.0,14.26,26.12,11.33,22.89,4.55,96.1
