Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,19.56,24.02,19.78,0.1,4.84,20.74,0.0,3.79,18.19,0.0
Feb,4.71,7.56,0.0,0.0,1.53,0.0,5.22,7.31,3.16,0.0
Mar,6.73,0.0,0.0,49.22,0.0,0.0,0.0,0.0,5.29,0.0
Apr,1.05,3.24,13.67,0.6,4.69,12.18,0.0,4.44,2.29,9.0
May,0.74,4.83,0.0,4.21,9.94,5.39,2.25,9.95,0.0,0.0
Jun,88.33,103.21,54.15,32.14,77.84,46.14,38.17,123.99,55.9,1.0
Jul,247.88,261.55,123.64,180.24,252.92,197.94,200.95,259.98,219.85,443.0
Aug,304.85,314.08,117.04,131.02,187.59,175.39,131.39,233.88,184.02,449.0
Sep,268.27,250.97,48.08,164.39,151.03,120.86,116.7,282.7,123.44,369.0
Oct,16.98,37.63,0.0,56.6,25.51,54.58,0.0,46.42,48.78,0.0
Nov,0.33,10.7,18.11,0.0,0.62,0.0,0.0,0.97,1.82,0.0
Dec,0.13,4.75,0.0,0.04,1.25,12.86,0.02,0.79,0.91,0.0
