Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.37,0.0,0.0,0.0,3.47,8.61,5.05,3.65,0.0,0.0
Feb,0.11,0.28,17.19,0.0,0.29,4.65,0.0,0.0,2.68,0.0
Mar,0.53,3.15,4.68,1.49,5.55,0.0,0.0,11.82,0.0,0.0
Apr,10.45,11.7,5.49,111.61,7.74,0.0,67.44,11.43,6.43,8.7
May,11.68,13.14,19.73,38.6,30.61,0.0,44.45,33.49,22.66,13.6
Jun,166.66,421.89,128.81,166.72,140.46,141.34,150.75,153.4,145.31,149.3
Jul,338.67,499.86,130.26,310.7,236.07,263.83,312.44,302.95,265.56,360.0
Aug,48.13,272.95,79.16,255.68,177.17,182.09,167.98,186.93,181.47,175.7
Sep,163.44,203.6,54.0,125.11,145.96,149.71,105.84,117.89,155.8,63.7
Oct,102.09,106.57,31.05,108.83,84.07,63.41,50.14,71.07,68.7,56.9
Nov,15.44,32.14,26.95,15.43,14.14,35.64,2.74,13.45,36.69,46.1
Dec,5.01,0.0,0.0,0.0,2.79,0.0,7.71,3.06,0.0,0.0
