Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,11.81,23.17,2.04,13.93,17.92,8.71,8.6,22.32,21.47,11.02,8.72,24.35,0.0
Feb,9.16,19.77,0.12,4.36,19.58,7.72,2.43,7.86,0.0,0.0,0.0,1.25,2.0
Mar,7.03,15.41,0.0,5.72,13.95,3.44,6.32,12.15,0.0,2.59,9.57,9.76,0.0
Apr,4.29,6.39,0.0,3.84,9.0,0.0,3.97,10.51,0.0,17.73,17.75,8.88,3.4
May,4.44,8.63,0.46,4.03,8.9,10.19,21.57,25.4,0.0,22.09,17.8,22.68,13.9
Jun,92.0,113.28,70.95,90.87,106.36,80.58,77.7,74.07,40.6,78.06,47.25,49.5,69.5
Jul,331.21,345.52,361292.19,332.19,357.8,0.0,358.22,299.38,0.0,363.29,594.49,0.0,335.9
Aug,268.25,335.62,0.0,307.9,331.44,0.0,268.75,368.61,0.0,272.37,401.91,0.0,182.2
Sep,165.11,164.3,59.95,163.21,142.61,59.15,173.42,139.57,87.08,128.42,135.6,80.27,176.9
Oct,14.17,29.16,0.3,8.57,23.31,4.37,153.48,88.2,38.87,153.14,26.36,57.79,0.4
Nov,1.08,12.84,0.23,0.25,12.11,13.87,0.0,0.0,7.63,0.0,0.0,7.66,0.0
Dec,1.6,8.39,0.0,2.07,7.57,2.38,0.0,3.32,1.29,0.0,0.46,0.0,0.0
