Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,4.49,9.74,8.07,10.7,0.53,19.21,9.44,0.0,10.73,0.0
Feb,3.01,5.04,21.27,0.11,2.07,1.33,0.0,4.81,19.94,5.0
Mar,4.72,8.26,15.28,0.1,1.37,0.0,0.0,2.91,0.0,1.0
Apr,1.28,3.3,1.68,1.0,3.39,0.0,0.0,3.12,10.4,0.8
May,5.04,7.48,23.39,17.45,0.0,0.0,0.0,0.0,0.0,0.0
Jun,136.07,144.35,67.33,175.38,123.34,75.57,171.59,123.06,96.14,228.8
Jul,298.79,450.8,88.94,389.95,404.89,414.82,397.86,438.44,417.54,398.3
Aug,480.64,374.89,85.3,188.88,278.2,265.36,255.31,383.57,272.14,177.1
Sep,131.94,417.45,51.74,130.9,157.56,128.68,146.49,91.68,130.37,72.7
Oct,34.84,29.1,5.12,9.72,24.17,21.6,15.5,29.91,16.49,8.4
Nov,0.57,22.52,0.0,0.19,3.31,8.31,0.94,0.92,0.08,0.0
Dec,0.0,11.88,0.15,0.1,0.44,1.02,3.81,3.24,0.0,0.8
