Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.16,3.74,10.63,0.0,0.0,10.21,0.3,0.59,2.42,5.0
Feb,11.03,0.0,0.0,49.1,20.61,5.33,49.74,9.1,21.66,7.0
Mar,22.26,0.0,4.59,56.3,39.56,26.56,51.53,36.94,23.19,23.0
Apr,59.52,42.63,69.21,80.1,80.2,69.49,67.9,134.23,79.15,69.0
May,64.59,98.35,74.94,85.1,81.86,84.47,79.79,38.39,79.52,149.0
Jun,145.19,125.62,126.44,105.0,177.08,156.62,148.63,166.07,166.17,
Jul,89.48,105.79,115.2,102.3,139.04,143.91,102.69,109.46,151.65,290.0
Aug,258.78,169.44,92.58,286.02,265.07,214.24,257.83,193.5,218.6,133.0
Sep,187.29,85.76,68.43,127.25,73.94,130.25,123.38,92.83,128.07,
Oct,149.89,62.88,34.36,65.97,211.73,87.76,140.55,278.09,96.8,88.0
Nov,26.39,16.73,27.93,27.09,73.15,23.55,0.0,0.0,34.95,1.0
Dec,0.0,0.0,5.74,10000.0,0.0,0.0,10000.0,2.09,7.15,37.0
