Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.63,15.63,1.82,6.29,13.68,0.0,4.33,8.63,15.05,4.1,3.21,11.85,0.0
Feb,11.1,19.94,2.82,7.85,11.52,21.42,21.46,17.17,0.0,18.99,14.19,11.5,21.4
Mar,11.93,21.3,0.99,15.82,21.41,4.48,4.36,27.29,15.95,6.71,53.06,0.0,0.3
Apr,5.58,12.06,0.45,7.08,13.98,0.0,13.44,22.37,0.0,13.93,22.19,0.0,2.9
May,7.32,15.52,13.48,8.89,15.8,1.51,9.09,20.73,8.24,12.71,20.73,14.13,3.6
Jun,166.39,171.78,148.64,167.52,179.99,153.24,0.0,139.31,127.74,0.0,129.95,130.22,125.4
Jul,355.88,363.64,0.0,341.26,356.98,0.0,371.63,367.58,0.0,369.06,649.65,0.0,385.9
Aug,300.63,333.55,0.0,305.66,333.86,0.0,309.01,336.37,0.0,310.31,337.23,5.07,202.6
Sep,160.94,200.34,141.86,179.88,200.73,144.8,93.63,153.68,144.59,94.14,126.86,148.37,64.0
Oct,35.51,49.04,9.57,35.4,50.87,31.66,34.5,71.33,33.84,35.37,67.03,44.57,0.0
Nov,3.39,18.09,0.11,7.54,19.24,5.0,5.98,11.15,0.0,6.46,0.0,15.7,2.7
Dec,2.11,9.93,0.55,1.87,9.94,0.0,2.19,4.74,0.0,2.32,5.99,0.0,3.2
