Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,21.53,24.3,0.0,18.3,21.65,11.42,15.81,23.97,7.07,7.73,10.45,18.92,0.0
Feb,14.51,24.98,1.89,6.3,17.89,0.0,0.0,22.6,2.58,0.0,19.64,20.01,17.5
Mar,25.03,20.36,0.0,23.71,20.39,22.01,38.96,20.35,0.0,32.13,24.7,12.45,1.0
Apr,7.2,9.82,0.0,7.66,11.22,9.95,4.67,10.86,5.2,8.0,11.2,1.4,19.0
May,7.16,14.27,0.0,8.07,14.27,20.48,27.52,30.6,7.06,27.7,24.32,28.97,1.0
Jun,125.3,129.44,81.14,119.6,130.62,86.42,87.8,87.98,76.28,90.07,90.26,79.44,138.0
Jul,296.09,303.42,0.0,301.53,309.59,0.0,291.17,252.07,168.36,292.17,302.58,177.77,224.0
Aug,384.56,365.6,0.0,381.8,270.43,0.0,312.95,210.04,272.61,298.12,215.0,282.5,293.0
Sep,206.04,177.38,61.86,202.94,174.12,72.13,191.64,208.48,84.77,191.6,199.14,103.47,160.0
Oct,16.79,38.0,17.43,16.88,38.04,23.48,9.37,50.19,46.76,9.71,53.25,51.26,1.0
Nov,2.1,10.59,0.0,0.89,10.07,15.99,4.3,9.84,17.31,4.79,0.0,12.73,0.0
Dec,0.9,7.8,0.0,0.73,7.62,7.02,0.0,2.45,7.15,0.26,4.81,3.24,32.0
