Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,45.21,34.63,13.02,75.07,40.16,46.25,119.75,96.98,91.73,134.66,63.73,91.22,12.0
Feb,32.78,37.65,12.77,29.21,44.06,8.95,66.42,64.26,27.96,54.94,23.76,33.47,32.7
Mar,19.74,41.94,4.69,13.12,45.1,40.86,35.85,49.15,54.44,38.91,63.45,59.9,37.6
Apr,53.55,34.24,47.0,46.11,32.42,36.28,94.01,36.35,50.73,94.86,11.8,43.2,48.8
May,55.81,35.01,85.76,28.63,38.61,47.88,51.27,70.79,63.46,54.32,71.51,80.77,50.5
Jun,74.48,107.01,106.71,80.46,87.74,102.43,118.58,82.31,107.91,130.5,68.98,106.93,139.3
Jul,220.16,252.84,160.61,206.95,225.44,166.33,204.53,207.57,190.03,210.4,221.45,189.79,239.3
Aug,242.51,246.23,159.45,246.26,227.83,162.18,280.58,215.83,174.18,283.68,221.1,175.42,196.7
Sep,127.49,137.99,91.66,114.19,108.54,97.84,46.3,137.0,104.05,46.81,123.98,104.43,231.7
Oct,6.52,16.43,0.47,34.29,29.83,5.99,14.45,11.87,19.56,14.17,7.57,26.45,3.8
Nov,1.84,9.35,1.7,9.62,18.98,0.0,5.11,7.91,15.42,5.03,0.0,7.87,43.4
Dec,18.46,15.73,15.67,15.78,18.98,8.83,0.0,23.91,9.05,0.0,21.81,11.09,4.8
