Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.39,2.75,14.59,2.4,1.56,0.0,2.78,1.31,11.07,0.0
Feb,0.09,1.4,12.11,0.0,0.6,0.0,0.0,0.7,2.16,0.0
Mar,0.3,3.35,0.0,8.76,2.25,7.69,1.24,2.24,0.0,0.0
Apr,0.1,1.59,1.3,0.1,2.97,1.84,2.71,2.31,15.64,3.1
May,0.12,0.0,11.74,0.9,0.0,0.0,0.43,0.0,14.74,0.0
Jun,33.54,45.97,43.94,81.15,55.67,16.14,54.11,0.0,40.63,97.9
Jul,374.86,471.04,91.36,308.6,568.38,423.75,309.57,782.02,440.8,178.5
Aug,326.22,330.71,50.8,326.56,249.47,214.63,195.95,194.66,214.58,113.8
Sep,200.43,263.54,20.07,135.4,136.98,113.65,146.73,159.45,115.16,18.8
Oct,2.59,16.31,0.0,0.67,5.34,24.54,0.0,6.37,5.53,0.0
Nov,0.19,9.06,0.0,0.0,9.5,15.42,0.0,14.0,33.09,0.0
Dec,21.78,1.82,0.0,2.6,2.29,8.77,0.01,3.31,0.2,0.0
