Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.6,7.6,5.59,0.68,0.0,0.0,0.0,0.26,0.0,2.0
Feb,2.2,6.68,6.07,0.52,5.14,16.57,2.54,8.21,1.57,0.0
Mar,2.34,1.13,0.0,3.2,0.0,3.56,0.0,0.0,16.35,0.1
Apr,1.53,2.01,0.0,22.46,8.22,8.11,8.38,9.73,14.0,14.5
May,2.01,6.64,14.57,6.2,6.65,11.32,4.6,7.22,0.0,2.4
Jun,19.64,27.61,5.88,55.62,124.32,6.75,58.53,144.04,28.62,66.2
Jul,53.39,77.12,45.39,35.88,133.46,45.57,32.61,159.8,85.49,71.4
Aug,40.09,42.46,43.87,50.85,48.08,65.88,49.01,74.07,62.63,41.7
Sep,35.8,44.22,31.5,52.9,61.48,30.73,55.47,74.12,56.6,63.1
Oct,1.39,5.72,0.0,5.25,17.94,0.71,8.51,38.43,15.49,0.0
Nov,0.08,1.77,7.55,0.4,1.06,18.56,0.01,0.56,0.94,0.0
Dec,2.49,4.76,8.73,0.1,1.14,0.0,0.0,1.78,0.0,4.6
