Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,42.11,24.14,12.35,41.16,30.08,28.62,0.0,0.0,23.3,0.0,0.0,34.63,2.9
Feb,7.1,23.92,0.47,2.71,21.33,0.46,0.7,3.07,7.02,0.49,2.56,5.42,1.2
Mar,16.98,26.62,0.0,12.89,26.25,18.95,0.0,5.09,21.84,0.0,0.0,0.0,26.9
Apr,39.71,70.08,5.75,15.76,8.0,34.89,9.68,40.45,21.94,9.68,29.32,31.51,38.6
May,63.75,64.76,37.65,104.56,108.74,46.97,106.29,132.22,52.43,110.41,132.0,77.53,219.3
Jun,18.16,52.38,61.58,25.69,40.59,67.65,56.66,30.74,25.99,55.34,59.84,50.14,55.1
Jul,36.64,54.62,47.78,87.95,73.96,56.75,83.02,77.47,68.02,75.6,128.39,64.85,64.4
Aug,46.28,82.87,127.21,110.88,128.83,133.51,132.11,127.44,167.32,130.59,127.98,161.8,81.7
Sep,72.4,79.0,83.65,76.07,103.79,87.22,98.59,132.71,108.12,94.11,159.53,109.78,104.5
Oct,187.96,200.01,99.78,178.18,201.55,113.88,182.71,176.61,113.08,165.73,135.29,127.11,149.6
Nov,155.61,178.79,66.41,157.92,172.88,70.26,148.77,148.52,68.74,133.21,131.86,93.2,165.9
Dec,58.12,84.41,34.03,56.64,86.86,44.21,96.04,57.62,55.43,97.24,59.3,57.61,22.5
