Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.32,9.32,3.21,24.03,11.75,8.27,27.88,9.01,0.0,28.84,11.13,0.0,2.9
Feb,3.7,12.64,0.0,0.0,0.0,0.0,0.0,7.31,0.0,0.0,4.18,7.79,14.5
Mar,27.16,27.44,0.0,46.99,54.21,47.27,41.6,36.36,63.29,40.02,9.64,54.2,78.5
Apr,45.72,54.71,106.77,29.7,45.37,76.76,30.8,37.98,77.56,30.22,46.5,75.02,153.4
May,177.07,191.87,204.12,233.04,266.03,228.86,233.78,217.96,229.65,232.84,230.82,228.42,224.7
Jun,330.11,353.01,0.0,342.84,347.05,83.75,349.77,349.39,0.0,340.43,292.06,0.0,372.6
Jul,568.44,541.7,0.0,551.62,654.3,0.0,613.07,805.73,0.0,538.83,805.48,0.0,400.3
Aug,409.82,401.99,0.0,333.91,309.97,0.0,333.63,381.48,0.0,333.67,73.08,0.0,416.2
Sep,305.29,351.76,0.0,382.18,364.63,0.0,379.6,392.36,0.0,383.93,604.15,0.0,363.5
Oct,83.84,96.02,48.36,118.49,132.51,44.13,110.45,72.28,60.82,109.04,81.86,53.23,34.1
Nov,5.61,10.49,0.0,0.0,5.98,0.0,0.0,0.0,0.0,0.0,0.0,9.86,0.0
Dec,1.02,6.91,0.0,0.07,0.0,0.0,0.45,2.57,0.0,0.0,0.0,4.6,26.2
