Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.89,6.77,0.23,0.0,0.0,13.46,0.0,0.0,0.0,0.0,0.0,0.49,0.0
Feb,23.53,20.3,0.0,0.53,17.7,0.0,5.86,16.79,20.19,13.21,17.63,8.26,1.5
Mar,15.44,35.53,74.65,82.16,124.85,70.59,151.37,94.71,68.0,147.93,200.66,76.38,17.6
Apr,171.99,124.41,245.19,88.58,0.0,156.38,2.07,0.0,139.72,0.0,0.0,117.93,282.9
May,279.14,315.15,0.0,398.16,310.99,0.0,468.63,324.74,0.0,380.19,296.12,0.0,543.4
Jun,499.37,522.0,0.0,284.89,308.01,0.0,279.43,295.2,0.0,286.89,288.49,0.0,494.6
Jul,609.56,581.42,0.0,329.57,466.14,0.0,336.51,674.7,0.0,328.44,657.61,0.0,407.1
Aug,539.95,521.6,0.0,407.6,434.74,0.0,377.44,429.34,0.0,421.13,427.9,0.0,286.0
Sep,303.94,344.15,0.0,247.44,380.08,424.73,257.37,358.23,369.39,245.9,409.62,376.47,138.2
Oct,203.58,223.94,287.27,218.68,357.48,355.5,214.54,343.88,299.07,219.01,183.59,303.88,81.4
Nov,21.84,51.51,0.23,12.82,123.82,14.99,14.74,153.11,35.81,11.75,178.06,28.58,14.3
Dec,2.6,9.97,5.64,32.52,218.62,0.0,4.81,0.0,61.57,20.12,178.82,18.48,4.0
