Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.53,1.62,19.14,0.36,0.06,0.0,0.08,1.55,0.0,0.0
Feb,18.96,15.06,0.0,31.4,12.21,10.66,6.53,15.17,8.0,1.5
Mar,38.23,33.75,0.0,94.9,34.64,14.91,14.0,33.89,28.36,17.6
Apr,57.48,65.92,38.36,279.01,39.18,86.05,46.66,118.54,103.21,282.9
May,241.3,310.57,105.05,299.33,255.25,266.06,267.36,346.05,276.02,543.4
Jun,580.62,303.39,139.36,385.02,244.67,322.8,318.03,291.49,331.45,494.6
Jul,185.4,360.88,124.08,352.2,434.12,351.98,377.05,400.42,363.43,407.1
Aug,328.41,393.18,119.86,249.4,408.6,298.2,394.14,357.25,305.73,286.0
Sep,228.52,385.3,73.45,389.3,392.25,223.36,371.24,366.31,231.07,138.2
Oct,393.26,211.27,78.81,58.15,156.43,178.84,125.98,18.2,183.71,81.4
Nov,7.65,25.28,1.07,13.03,21.49,30.06,2.46,26.31,30.38,14.3
Dec,1.13,13.93,16.91,0.0,12.93,8.12,4.81,2.2,8.47,4.0
