Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.0,12.63,2.67,7.19,34.96,7.14,7.69,37.36,12.61,0.0
Feb,4.38,3.16,0.0,5.52,2.87,1.05,7.24,1.8,0.0,0.0
Mar,10.52,0.83,17.86,22.42,13.48,18.11,9.32,12.53,13.27,0.5
Apr,30.93,16.3,22.58,48.94,49.28,42.19,38.7,86.0,37.94,47.8
May,175.53,50.89,32.41,47.0,55.22,79.66,68.17,237.87,92.47,105.9
Jun,170.8,103.0,49.18,186.0,167.65,145.12,128.11,198.0,150.46,88.8
Jul,227.36,169.47,54.42,190.34,211.05,194.4,197.1,167.15,201.9,277.4
Aug,160.8,175.49,48.85,228.93,195.03,176.45,169.87,85.21,184.62,314.7
Sep,259.87,188.72,49.89,293.8,239.7,220.48,219.75,307.95,226.1,195.5
Oct,126.35,120.0,72.98,122.5,173.81,202.53,130.77,173.3,205.86,216.9
Nov,19.56,109.93,23.06,54.43,118.17,117.9,54.38,35.57,115.44,0.0
Dec,2.93,12.61,0.0,15.8,56.18,43.35,17.01,74.96,30.09,63.3
