Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.92,8.63,0.68,0.73,8.17,0.0,6.07,6.52,0.0,0.62,0.0,8.42,0.0
Feb,27.39,25.65,0.61,14.4,15.22,9.01,0.0,10.41,3.81,0.0,8.28,0.0,0.5
Mar,7.92,21.2,1.83,5.38,12.09,4.73,0.0,0.72,5.7,0.44,1.61,0.0,2.1
Apr,15.7,19.13,0.17,12.61,20.22,14.03,4.68,14.11,0.92,6.52,13.55,9.71,41.3
May,24.27,26.17,1.68,42.71,26.92,43.85,58.92,29.62,12.52,54.95,30.35,30.48,106.0
Jun,170.41,186.39,182.3,173.46,169.91,187.4,271.63,91.79,204.35,294.78,83.09,175.15,146.6
Jul,380.2,401.05,0.0,382.81,391.17,0.0,260.12,433.04,0.0,251.43,503.65,0.0,341.9
Aug,451.55,459.98,0.0,422.33,354.84,0.0,283.14,358.12,0.0,282.31,347.78,0.0,396.3
Sep,216.76,214.6,160.74,213.89,189.29,170.03,216.05,209.72,175.48,215.51,225.0,174.54,226.6
Oct,44.73,57.5,36.09,63.78,66.15,48.19,70.78,95.08,69.86,68.81,88.88,66.11,14.4
Nov,2.91,7.19,0.0,4.39,7.91,4.55,3.2,14.33,9.08,1.96,0.87,21.36,0.1
Dec,0.26,2.86,0.69,1.15,2.62,0.0,1.01,0.0,13.58,0.0,0.0,8.5,90.5
