Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.29,9.77,22.0,13.81,0.0,0.0,5.35,0.0,9.67,0.0
Feb,0.0,1.68,0.0,2.89,0.0,7.98,8.36,0.0,15.84,0.5
Mar,1.74,0.0,8.78,11.02,0.0,2.45,1.0,0.0,3.14,2.1
Apr,5.12,11.17,0.0,18.0,18.69,4.39,10.71,23.09,18.68,41.3
May,4.01,17.19,18.01,34.06,38.08,0.0,42.5,36.95,30.68,106.0
Jun,114.17,142.2,63.02,225.58,142.06,93.98,186.92,126.16,120.38,146.6
Jul,213.81,305.84,148.29,459.91,362.44,309.93,412.68,414.49,328.67,341.9
Aug,290.69,397.64,124.34,312.02,296.02,301.46,310.05,253.94,316.66,396.3
Sep,174.18,200.79,88.09,214.22,187.86,165.92,204.57,226.05,178.71,226.6
Oct,26.38,47.24,0.0,0.0,45.38,61.11,37.86,53.94,66.46,14.4
Nov,10.79,9.82,0.44,0.0,16.11,12.11,0.92,6.34,12.3,0.1
Dec,1.22,3.73,19.45,12.5,12.39,16.5,17.29,21.62,6.79,90.5
