Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,9.81,15.52,5.43,8.89,15.62,12.13,13.74,12.49,6.41,10.77,5.91,9.93,0.0
Feb,15.59,22.5,0.0,10.64,17.06,0.0,22.01,19.12,10.15,20.5,16.36,9.8,20.5
Mar,8.93,16.06,1.73,10.5,16.2,0.0,0.0,0.0,0.0,0.16,3.46,12.83,0.6
Apr,14.75,12.18,0.0,10.55,12.17,4.0,10.66,25.06,0.0,10.72,19.54,14.75,26.9
May,11.68,14.1,0.0,14.43,14.19,8.08,18.7,8.73,0.0,18.45,7.78,9.14,66.9
Jun,150.55,163.71,158.74,140.9,164.01,161.18,111.23,0.0,162.6,103.32,0.0,106.08,84.8
Jul,330.48,428.07,0.0,253.35,429.53,0.0,335.8,648.33,800.72,374.73,582.34,744.42,556.0
Aug,384.75,381.12,0.0,389.23,381.29,0.0,297.56,328.05,0.0,303.07,263.09,0.0,309.4
Sep,169.71,192.53,149.7,176.55,190.84,153.05,66.46,132.35,144.06,73.57,128.34,142.04,127.3
Oct,31.16,58.93,19.29,23.64,56.54,36.89,114.76,113.75,71.89,112.44,137.66,82.99,4.3
Nov,2.23,7.42,0.0,1.84,7.44,0.0,0.17,10.75,7.1,1.29,19.4,15.78,0.2
Dec,0.55,4.95,0.77,0.37,4.81,0.0,2.53,0.0,1.07,0.0,0.0,2.66,33.6
